Risk Factor,Early Completion Dates,Project Result,Actual duration
0.8,"[0, 17, 21, 21, 21, 25, 31, 32, 31, 39, 43, 44]",Successful,346
1.4,"[0, 10, 18, 18, 15, 20, 26, 30, 24, 40, 49, 44]",Failed,430
0.8,"[0, 12, 16, 17, 15, 20, 26, 28, 26, 36, 44, 39]",Successful,351
1.2,"[0, 12, 17, 19, 16, 23, 30, 33, 28, 38, 43, 43]",Acceptable,396
0.8,"[0, 10, 15, 16, 13, 19, 23, 29, 24, 37, 40, 41]",Successful,381
1.0,"[0, 14, 19, 20, 17, 23, 29, 30, 29, 37, 42, 41]",Successful,353
1.0,"[0, 13, 19, 18, 16, 23, 29, 30, 29, 36, 44, 40]",Acceptable,395
1.0,"[0, 13, 20, 18, 16, 24, 32, 32, 30, 41, 49, 46]",Successful,375
1.2,"[0, 15, 21, 22, 19, 27, 34, 33, 34, 44, 51, 49]",Successful,389
1.2,"[0, 14, 19, 21, 18, 25, 32, 35, 30, 45, 50, 50]",Successful,381
0.8,"[0, 10, 15, 14, 13, 18, 23, 24, 23, 32, 36, 36]",Successful,360
1.0,"[0, 11, 18, 18, 14, 23, 31, 31, 30, 41, 49, 45]",Successful,365
0.8,"[0, 7, 14, 14, 11, 18, 25, 24, 25, 33, 40, 37]",Successful,329
0.8,"[0, 10, 15, 14, 13, 18, 23, 25, 24, 37, 42, 40]",Successful,362
1.0,"[0, 14, 20, 18, 19, 23, 31, 32, 31, 43, 48, 46]",Successful,360
0.8,"[0, 13, 19, 19, 15, 22, 26, 27, 27, 34, 39, 38]",Successful,357
1.4,"[0, 14, 22, 22, 16, 26, 34, 37, 35, 46, 53, 49]",Failed,427
1.2,"[0, 14, 19, 22, 18, 26, 32, 33, 33, 41, 46, 46]",Acceptable,409
0.8,"[0, 16, 21, 21, 20, 24, 31, 33, 29, 41, 46, 45]",Successful,380
1.2,"[0, 11, 18, 18, 16, 21, 25, 28, 25, 38, 45, 44]",Acceptable,417
1.0,"[0, 11, 16, 17, 16, 20, 27, 27, 26, 36, 44, 39]",Acceptable,405
1.0,"[0, 16, 22, 22, 19, 25, 33, 32, 33, 43, 49, 47]",Acceptable,401
0.8,"[0, 16, 21, 20, 19, 24, 28, 32, 28, 38, 43, 41]",Successful,358
1.0,"[0, 15, 21, 22, 18, 27, 32, 35, 35, 44, 49, 48]",Successful,373
1.0,"[0, 12, 18, 16, 16, 23, 30, 30, 28, 38, 44, 42]",Successful,358
1.0,"[0, 11, 15, 18, 14, 22, 27, 29, 28, 38, 41, 41]",Acceptable,390
0.8,"[0, 14, 18, 22, 18, 24, 28, 31, 30, 40, 48, 45]",Successful,356
1.4,"[0, 10, 18, 18, 15, 22, 30, 30, 29, 41, 48, 47]",Acceptable,402
0.8,"[0, 11, 19, 16, 15, 23, 29, 29, 28, 34, 40, 37]",Successful,333
1.4,"[0, 17, 25, 23, 22, 27, 35, 38, 35, 47, 56, 49]",Acceptable,425
0.8,"[0, 15, 19, 21, 19, 25, 32, 33, 28, 40, 46, 42]",Successful,343
1.2,"[0, 17, 25, 23, 22, 30, 38, 38, 37, 48, 55, 53]",Acceptable,408
1.2,"[0, 13, 18, 16, 19, 23, 29, 29, 29, 35, 42, 39]",Successful,386
1.2,"[0, 16, 21, 20, 20, 24, 32, 32, 31, 41, 46, 46]",Acceptable,418
0.8,"[0, 15, 22, 22, 18, 25, 29, 33, 30, 39, 47, 44]",Successful,372
1.4,"[0, 17, 24, 23, 23, 29, 35, 35, 34, 45, 50, 49]",Acceptable,418
1.4,"[0, 12, 17, 20, 18, 25, 30, 36, 33, 41, 45, 46]",Failed,427
1.4,"[0, 17, 25, 24, 20, 30, 36, 39, 37, 49, 56, 54]",Acceptable,422
0.8,"[0, 10, 16, 16, 14, 20, 25, 26, 26, 34, 39, 38]",Successful,338
1.4,"[0, 12, 18, 19, 17, 24, 32, 35, 32, 45, 53, 49]",Failed,441
1.2,"[0, 7, 12, 11, 9, 16, 23, 25, 22, 34, 42, 38]",Successful,364
1.0,"[0, 11, 18, 17, 14, 22, 30, 32, 27, 38, 44, 42]",Successful,386
1.0,"[0, 10, 15, 15, 13, 19, 24, 24, 26, 30, 34, 34]",Successful,377
1.4,"[0, 15, 22, 21, 19, 27, 32, 38, 32, 47, 55, 52]",Failed,429
1.4,"[0, 12, 16, 18, 18, 24, 31, 34, 28, 40, 48, 43]",Acceptable,426
1.2,"[0, 12, 18, 20, 18, 24, 32, 34, 31, 44, 52, 49]",Failed,432
0.8,"[0, 12, 18, 19, 16, 23, 28, 31, 27, 40, 46, 44]",Successful,354
1.0,"[0, 12, 19, 19, 15, 23, 30, 30, 31, 42, 49, 45]",Successful,375
1.2,"[0, 14, 21, 22, 18, 25, 31, 32, 33, 41, 49, 45]",Acceptable,420
1.4,"[0, 16, 21, 21, 21, 25, 29, 36, 33, 47, 56, 52]",Failed,435
1.4,"[0, 17, 20, 24, 21, 28, 36, 39, 36, 47, 51, 53]",Acceptable,420
0.8,"[0, 9, 14, 13, 12, 17, 24, 24, 23, 32, 36, 36]",Successful,345
0.8,"[0, 12, 18, 19, 16, 22, 30, 28, 30, 38, 46, 42]",Successful,344
1.2,"[0, 11, 19, 18, 15, 22, 29, 32, 30, 44, 47, 47]",Acceptable,412
0.8,"[0, 9, 18, 17, 13, 23, 30, 31, 29, 38, 42, 41]",Successful,351
1.4,"[0, 17, 25, 25, 23, 30, 39, 39, 36, 49, 57, 54]",Acceptable,413
1.0,"[0, 11, 17, 16, 14, 22, 27, 32, 29, 42, 47, 47]",Successful,370
0.8,"[0, 12, 16, 18, 16, 23, 27, 31, 29, 39, 45, 42]",Successful,376
0.8,"[0, 8, 16, 14, 12, 20, 27, 25, 26, 35, 43, 39]",Successful,366
1.0,"[0, 9, 14, 15, 14, 18, 26, 22, 24, 34, 38, 39]",Successful,366
1.2,"[0, 10, 13, 17, 16, 21, 28, 29, 24, 39, 45, 44]",Acceptable,419
1.4,"[0, 13, 22, 21, 19, 26, 34, 31, 34, 44, 52, 48]",Acceptable,416
1.4,"[0, 15, 18, 23, 21, 26, 34, 30, 35, 43, 51, 46]",Acceptable,409
1.4,"[0, 14, 21, 20, 19, 25, 33, 35, 31, 44, 51, 48]",Failed,441
1.0,"[0, 12, 17, 18, 16, 21, 26, 26, 28, 36, 41, 39]",Successful,373
1.4,"[0, 17, 25, 21, 22, 28, 36, 40, 36, 49, 55, 54]",Acceptable,424
0.8,"[0, 12, 17, 18, 16, 23, 29, 31, 28, 40, 46, 44]",Successful,341
1.0,"[0, 14, 19, 21, 18, 24, 32, 31, 30, 41, 46, 46]",Acceptable,407
1.4,"[0, 11, 18, 18, 16, 23, 32, 29, 28, 39, 47, 43]",Failed,430
1.4,"[0, 16, 25, 23, 20, 31, 39, 40, 39, 49, 53, 52]",Acceptable,423
1.4,"[0, 17, 25, 25, 23, 28, 36, 34, 35, 42, 51, 47]",Acceptable,422
1.0,"[0, 14, 22, 18, 19, 25, 30, 35, 30, 44, 51, 49]",Successful,380
1.4,"[0, 17, 24, 24, 22, 29, 35, 37, 38, 47, 51, 52]",Acceptable,403
0.8,"[0, 13, 19, 20, 17, 23, 27, 31, 27, 38, 44, 42]",Successful,336
0.8,"[0, 16, 20, 22, 21, 26, 31, 34, 30, 44, 49, 49]",Successful,336
0.8,"[0, 8, 16, 13, 12, 20, 24, 27, 25, 32, 37, 37]",Successful,344
1.0,"[0, 15, 21, 21, 19, 25, 30, 36, 29, 42, 48, 47]",Successful,369
1.4,"[0, 13, 21, 19, 18, 26, 32, 31, 30, 41, 48, 45]",Failed,452
1.0,"[0, 9, 15, 15, 13, 18, 24, 26, 25, 33, 37, 37]",Successful,361
1.4,"[0, 16, 21, 22, 19, 26, 32, 31, 34, 42, 49, 45]",Failed,440
1.2,"[0, 12, 20, 19, 18, 25, 33, 32, 30, 45, 52, 50]",Acceptable,395
1.0,"[0, 17, 22, 22, 20, 26, 34, 34, 33, 44, 51, 47]",Successful,366
1.0,"[0, 17, 24, 24, 20, 27, 34, 36, 32, 43, 48, 48]",Successful,366
1.0,"[0, 14, 22, 20, 17, 26, 32, 35, 30, 41, 45, 45]",Successful,360
0.8,"[0, 13, 19, 17, 17, 24, 32, 35, 29, 41, 47, 45]",Successful,359
0.8,"[0, 14, 19, 21, 18, 25, 31, 30, 33, 40, 44, 44]",Successful,334
0.8,"[0, 11, 16, 16, 16, 20, 25, 30, 28, 38, 43, 42]",Successful,351
1.0,"[0, 14, 19, 21, 18, 24, 31, 32, 29, 41, 47, 44]",Successful,380
1.0,"[0, 12, 19, 21, 17, 26, 33, 34, 33, 42, 49, 46]",Successful,379
1.4,"[0, 10, 18, 15, 14, 22, 28, 33, 30, 43, 50, 47]",Failed,429
0.8,"[0, 8, 12, 15, 13, 19, 27, 25, 27, 34, 40, 38]",Successful,337
1.4,"[0, 15, 22, 22, 19, 27, 35, 36, 35, 44, 50, 48]",Acceptable,402
1.2,"[0, 16, 24, 23, 21, 28, 35, 36, 34, 42, 49, 47]",Acceptable,414
1.0,"[0, 11, 18, 17, 16, 24, 30, 30, 30, 40, 46, 45]",Successful,387
0.8,"[0, 10, 14, 16, 14, 19, 24, 25, 22, 30, 35, 34]",Successful,334
1.2,"[0, 11, 18, 17, 14, 22, 30, 30, 30, 39, 45, 43]",Acceptable,393
1.2,"[0, 10, 18, 16, 14, 24, 31, 35, 30, 43, 48, 48]",Successful,389
1.2,"[0, 13, 19, 19, 18, 24, 29, 34, 28, 41, 47, 46]",Acceptable,400
1.0,"[0, 15, 21, 21, 18, 24, 29, 30, 31, 36, 44, 39]",Successful,370
1.0,"[0, 12, 18, 19, 15, 22, 26, 30, 26, 37, 43, 41]",Acceptable,391
0.8,"[0, 14, 19, 22, 19, 27, 32, 34, 31, 43, 48, 46]",Successful,373
1.0,"[0, 8, 14, 15, 13, 19, 24, 28, 22, 37, 45, 42]",Successful,359
1.4,"[0, 14, 21, 18, 18, 24, 29, 32, 33, 42, 50, 46]",Failed,442
1.4,"[0, 10, 14, 15, 14, 21, 29, 28, 27, 35, 43, 39]",Failed,434
1.0,"[0, 11, 18, 17, 15, 22, 28, 31, 30, 39, 46, 42]",Successful,378
1.0,"[0, 9, 15, 15, 14, 20, 26, 30, 24, 40, 47, 45]",Acceptable,395
0.8,"[0, 8, 13, 16, 11, 20, 24, 26, 24, 34, 38, 38]",Successful,330
1.4,"[0, 14, 20, 20, 19, 23, 27, 32, 32, 40, 48, 43]",Acceptable,405
1.0,"[0, 14, 18, 21, 18, 26, 31, 34, 33, 43, 49, 49]",Successful,378
1.2,"[0, 16, 24, 22, 20, 27, 31, 33, 32, 42, 49, 45]",Acceptable,393
0.8,"[0, 13, 18, 19, 18, 24, 31, 31, 29, 38, 44, 41]",Successful,356
1.4,"[0, 9, 15, 17, 12, 23, 29, 33, 30, 43, 50, 48]",Failed,435
1.2,"[0, 11, 16, 19, 15, 24, 31, 33, 30, 42, 49, 46]",Acceptable,418
1.0,"[0, 12, 15, 16, 17, 23, 28, 34, 31, 40, 47, 44]",Successful,385
1.0,"[0, 10, 16, 14, 15, 21, 26, 32, 29, 41, 47, 46]",Acceptable,390
0.8,"[0, 14, 20, 20, 17, 24, 28, 34, 31, 42, 47, 46]",Successful,389
0.8,"[0, 10, 17, 16, 14, 20, 24, 27, 26, 34, 38, 39]",Successful,349
1.2,"[0, 11, 15, 15, 14, 20, 28, 29, 26, 39, 46, 43]",Acceptable,402
1.2,"[0, 18, 25, 26, 21, 30, 37, 40, 35, 50, 58, 53]",Acceptable,402
1.0,"[0, 16, 21, 23, 20, 27, 31, 37, 31, 45, 50, 49]",Successful,359
0.8,"[0, 9, 14, 15, 13, 18, 23, 26, 25, 33, 39, 37]",Successful,360
0.8,"[0, 11, 16, 18, 16, 22, 29, 29, 28, 38, 42, 41]",Successful,337
1.0,"[0, 10, 18, 16, 13, 22, 28, 33, 29, 38, 44, 42]",Acceptable,390
1.4,"[0, 10, 16, 18, 14, 23, 27, 28, 28, 38, 43, 43]",Acceptable,394
1.2,"[0, 16, 23, 23, 21, 28, 34, 35, 35, 45, 52, 49]",Acceptable,421
1.0,"[0, 14, 20, 22, 18, 27, 31, 33, 31, 40, 44, 43]",Successful,372
0.8,"[0, 9, 15, 14, 14, 18, 24, 28, 23, 36, 43, 41]",Successful,361
1.4,"[0, 11, 17, 18, 15, 22, 30, 33, 29, 41, 49, 46]",Acceptable,417
0.8,"[0, 9, 16, 13, 12, 21, 24, 26, 27, 35, 41, 39]",Successful,361
1.4,"[0, 18, 25, 24, 20, 30, 36, 40, 36, 49, 53, 52]",Failed,433
1.2,"[0, 13, 18, 18, 16, 24, 28, 30, 30, 37, 44, 41]",Successful,388
1.0,"[0, 15, 21, 22, 17, 26, 34, 35, 32, 43, 47, 47]",Successful,364
0.8,"[0, 12, 18, 19, 17, 22, 28, 27, 27, 34, 41, 38]",Successful,353
1.0,"[0, 13, 19, 18, 18, 24, 30, 29, 29, 39, 47, 43]",Successful,366
1.4,"[0, 11, 18, 17, 14, 22, 29, 30, 29, 38, 45, 42]",Failed,431
1.4,"[0, 15, 22, 23, 21, 28, 34, 36, 34, 44, 52, 50]",Acceptable,424
0.8,"[0, 11, 17, 15, 15, 23, 28, 32, 31, 42, 46, 46]",Successful,368
1.0,"[0, 12, 18, 18, 16, 23, 29, 31, 29, 39, 44, 44]",Successful,378
1.2,"[0, 14, 21, 21, 19, 25, 31, 34, 32, 43, 51, 47]",Acceptable,409
1.0,"[0, 14, 22, 21, 18, 26, 30, 32, 33, 40, 45, 45]",Successful,372
1.0,"[0, 15, 22, 22, 18, 26, 32, 33, 30, 42, 49, 46]",Successful,382
0.8,"[0, 8, 13, 12, 11, 17, 24, 26, 22, 33, 38, 36]",Successful,371
1.4,"[0, 16, 21, 24, 21, 29, 37, 36, 37, 44, 52, 48]",Acceptable,411
1.4,"[0, 10, 16, 18, 15, 24, 33, 31, 33, 44, 51, 50]",Acceptable,410
1.4,"[0, 16, 23, 23, 20, 28, 36, 39, 36, 49, 55, 53]",Acceptable,419
1.0,"[0, 14, 21, 20, 18, 24, 31, 33, 30, 43, 49, 46]",Successful,365
1.2,"[0, 16, 22, 24, 22, 29, 36, 39, 35, 47, 52, 50]",Acceptable,406
1.2,"[0, 14, 21, 21, 18, 26, 33, 31, 32, 43, 51, 47]",Failed,429
1.0,"[0, 17, 25, 23, 23, 28, 34, 33, 34, 41, 49, 46]",Acceptable,391
1.4,"[0, 15, 20, 23, 20, 27, 33, 37, 35, 47, 55, 53]",Failed,445
1.0,"[0, 12, 18, 19, 17, 23, 30, 33, 29, 42, 48, 46]",Successful,379
1.2,"[0, 13, 19, 20, 17, 25, 32, 33, 32, 41, 48, 46]",Failed,436
1.2,"[0, 13, 20, 20, 16, 25, 32, 35, 30, 42, 46, 47]",Acceptable,392
1.2,"[0, 16, 24, 21, 22, 27, 34, 35, 35, 40, 48, 44]",Acceptable,418
0.8,"[0, 12, 18, 17, 16, 21, 28, 27, 28, 34, 40, 37]",Successful,323
0.8,"[0, 8, 14, 14, 13, 17, 23, 23, 21, 29, 33, 34]",Successful,343
1.4,"[0, 9, 14, 17, 14, 21, 30, 31, 29, 41, 46, 45]",Acceptable,399
0.8,"[0, 9, 13, 14, 12, 18, 24, 24, 23, 33, 38, 39]",Successful,356
1.0,"[0, 15, 21, 20, 18, 24, 31, 31, 31, 38, 45, 43]",Successful,380
0.8,"[0, 10, 15, 18, 14, 22, 29, 28, 26, 36, 43, 40]",Successful,353
1.4,"[0, 12, 20, 17, 14, 25, 34, 36, 30, 45, 53, 49]",Failed,439
1.4,"[0, 11, 17, 19, 15, 25, 32, 36, 34, 42, 47, 48]",Acceptable,415
1.4,"[0, 16, 23, 20, 20, 28, 33, 36, 34, 45, 53, 48]",Acceptable,413
1.4,"[0, 13, 20, 20, 18, 25, 33, 36, 30, 47, 53, 50]",Acceptable,426
1.2,"[0, 16, 24, 22, 20, 28, 34, 38, 37, 45, 49, 48]",Acceptable,419
1.2,"[0, 13, 21, 18, 18, 24, 29, 34, 31, 41, 49, 45]",Successful,385
1.0,"[0, 11, 16, 19, 14, 23, 30, 31, 28, 40, 46, 44]",Successful,388
1.4,"[0, 9, 15, 15, 14, 19, 24, 24, 27, 39, 47, 43]",Acceptable,420
1.4,"[0, 17, 25, 25, 21, 30, 37, 40, 38, 51, 58, 57]",Failed,428
1.0,"[0, 12, 18, 17, 15, 22, 26, 28, 28, 38, 43, 43]",Successful,385
1.4,"[0, 16, 20, 21, 22, 25, 33, 35, 33, 44, 50, 48]",Acceptable,424
0.8,"[0, 10, 16, 14, 13, 20, 25, 26, 26, 30, 37, 33]",Successful,363
1.2,"[0, 11, 16, 18, 15, 24, 30, 31, 30, 38, 44, 42]",Acceptable,399
0.8,"[0, 8, 14, 13, 12, 17, 22, 24, 23, 31, 38, 35]",Successful,377
1.0,"[0, 14, 19, 21, 17, 24, 31, 31, 32, 39, 44, 44]",Successful,369
1.4,"[0, 7, 12, 14, 10, 20, 26, 28, 28, 39, 46, 42]",Acceptable,409
1.4,"[0, 15, 23, 22, 20, 26, 32, 32, 33, 41, 49, 46]",Acceptable,400
1.2,"[0, 12, 17, 19, 15, 24, 32, 31, 32, 38, 45, 41]",Successful,388
1.2,"[0, 13, 20, 18, 17, 25, 31, 32, 31, 42, 49, 46]",Acceptable,412
0.8,"[0, 8, 15, 14, 12, 17, 22, 24, 21, 32, 36, 36]",Successful,352
0.8,"[0, 13, 17, 16, 15, 21, 28, 28, 26, 34, 42, 37]",Successful,343
1.4,"[0, 10, 17, 15, 14, 19, 28, 30, 24, 40, 49, 46]",Acceptable,395
1.2,"[0, 16, 22, 20, 22, 27, 33, 32, 32, 40, 47, 44]",Acceptable,398
1.2,"[0, 16, 25, 22, 21, 28, 34, 33, 35, 46, 54, 49]",Acceptable,423
1.4,"[0, 14, 20, 22, 19, 28, 35, 39, 33, 47, 54, 51]",Acceptable,426
1.2,"[0, 16, 23, 22, 21, 27, 34, 36, 32, 46, 53, 50]",Acceptable,405
1.4,"[0, 9, 17, 17, 14, 22, 27, 31, 28, 42, 50, 48]",Acceptable,408
1.0,"[0, 12, 18, 17, 14, 21, 25, 29, 27, 33, 38, 36]",Successful,371
1.2,"[0, 13, 21, 20, 19, 24, 30, 32, 32, 42, 48, 45]",Acceptable,399
1.0,"[0, 9, 14, 16, 12, 19, 27, 27, 25, 35, 42, 40]",Successful,380
1.2,"[0, 14, 19, 22, 19, 27, 31, 38, 35, 44, 51, 48]",Acceptable,414
1.4,"[0, 11, 19, 15, 16, 25, 31, 31, 33, 43, 49, 48]",Failed,428
1.2,"[0, 17, 24, 23, 21, 29, 34, 37, 36, 44, 51, 50]",Acceptable,402
1.2,"[0, 12, 18, 18, 17, 23, 31, 29, 28, 36, 40, 41]",Successful,381
1.4,"[0, 15, 22, 19, 20, 27, 33, 34, 34, 42, 47, 46]",Failed,431
1.0,"[0, 16, 23, 20, 21, 26, 34, 33, 32, 42, 51, 47]",Successful,381
1.4,"[0, 10, 17, 18, 16, 23, 30, 31, 30, 40, 44, 46]",Acceptable,417
0.8,"[0, 12, 19, 18, 16, 23, 28, 31, 29, 41, 46, 44]",Successful,378
1.2,"[0, 11, 15, 19, 15, 22, 26, 33, 29, 40, 48, 45]",Acceptable,393
1.2,"[0, 16, 21, 22, 21, 27, 33, 36, 34, 44, 52, 49]",Acceptable,396
1.2,"[0, 12, 18, 18, 18, 20, 25, 27, 27, 38, 44, 42]",Acceptable,399
1.4,"[0, 15, 23, 20, 20, 29, 37, 38, 37, 49, 55, 54]",Failed,437
1.2,"[0, 16, 23, 22, 20, 26, 33, 33, 34, 44, 52, 49]",Acceptable,391
0.8,"[0, 9, 14, 15, 12, 18, 25, 25, 23, 34, 39, 38]",Successful,341
1.0,"[0, 12, 17, 18, 16, 22, 26, 28, 27, 36, 43, 39]",Acceptable,390
0.8,"[0, 14, 20, 20, 19, 24, 29, 32, 29, 40, 44, 43]",Successful,367
0.8,"[0, 10, 16, 17, 14, 20, 25, 30, 26, 35, 39, 38]",Successful,367
1.4,"[0, 14, 20, 19, 18, 25, 29, 33, 33, 42, 50, 47]",Failed,439
0.8,"[0, 14, 20, 20, 18, 24, 31, 34, 28, 39, 43, 43]",Successful,354
1.2,"[0, 11, 19, 18, 16, 23, 29, 33, 28, 41, 47, 46]",Acceptable,396
1.0,"[0, 10, 15, 18, 13, 21, 28, 30, 25, 37, 45, 41]",Successful,387
1.0,"[0, 10, 15, 17, 14, 21, 26, 28, 29, 36, 42, 40]",Successful,378
1.4,"[0, 15, 23, 23, 20, 28, 35, 39, 36, 50, 56, 55]",Acceptable,426
1.4,"[0, 8, 16, 12, 13, 20, 28, 28, 27, 37, 42, 41]",Failed,446
1.4,"[0, 15, 20, 20, 20, 24, 32, 34, 30, 45, 51, 50]",Acceptable,426
1.2,"[0, 13, 19, 20, 17, 24, 30, 35, 31, 45, 51, 49]",Failed,435
1.0,"[0, 16, 23, 21, 20, 28, 33, 34, 33, 40, 48, 44]",Successful,372
1.4,"[0, 14, 22, 22, 18, 27, 35, 35, 36, 42, 50, 47]",Acceptable,419
0.8,"[0, 10, 17, 15, 15, 22, 26, 27, 26, 32, 38, 36]",Successful,332
0.8,"[0, 7, 15, 15, 10, 18, 23, 27, 24, 33, 41, 36]",Successful,331
0.8,"[0, 14, 18, 21, 18, 24, 31, 31, 28, 38, 44, 44]",Successful,353
1.2,"[0, 10, 14, 19, 15, 24, 28, 35, 31, 43, 48, 47]",Successful,358
1.4,"[0, 13, 20, 19, 18, 24, 31, 31, 30, 41, 46, 45]",Acceptable,419
1.2,"[0, 13, 19, 20, 18, 23, 30, 31, 31, 39, 44, 42]",Acceptable,417
1.4,"[0, 11, 18, 17, 16, 22, 29, 33, 30, 43, 51, 49]",Acceptable,407
1.4,"[0, 15, 21, 19, 19, 24, 32, 33, 30, 44, 48, 50]",Acceptable,418
1.4,"[0, 16, 21, 22, 19, 24, 31, 34, 32, 38, 41, 43]",Failed,438
1.4,"[0, 17, 22, 23, 23, 27, 32, 37, 34, 47, 55, 52]",Acceptable,420
0.8,"[0, 11, 19, 16, 15, 23, 27, 31, 31, 37, 44, 40]",Successful,377
1.0,"[0, 14, 20, 21, 16, 25, 33, 33, 32, 42, 48, 46]",Successful,385
0.8,"[0, 9, 14, 14, 13, 19, 24, 26, 23, 35, 41, 38]",Successful,367
1.4,"[0, 17, 21, 25, 22, 30, 35, 40, 38, 50, 55, 55]",Failed,452
1.0,"[0, 12, 17, 16, 17, 21, 27, 28, 27, 36, 44, 40]",Successful,374
1.2,"[0, 12, 16, 19, 15, 24, 30, 33, 29, 40, 44, 43]",Acceptable,391
1.2,"[0, 13, 18, 19, 17, 24, 31, 32, 29, 42, 50, 46]",Acceptable,421
1.2,"[0, 13, 19, 21, 16, 24, 31, 32, 31, 41, 47, 44]",Acceptable,424
1.0,"[0, 9, 15, 17, 12, 21, 27, 31, 26, 37, 43, 41]",Successful,344
1.2,"[0, 13, 19, 20, 18, 25, 31, 35, 33, 43, 52, 47]",Successful,385
1.2,"[0, 8, 13, 15, 12, 19, 27, 29, 26, 38, 46, 43]",Acceptable,411
1.2,"[0, 15, 19, 22, 18, 27, 33, 32, 35, 46, 55, 49]",Acceptable,392
1.0,"[0, 9, 15, 16, 14, 21, 28, 29, 28, 37, 44, 41]",Successful,327
0.8,"[0, 11, 18, 16, 14, 21, 28, 29, 27, 38, 44, 41]",Successful,323
1.0,"[0, 14, 19, 21, 17, 26, 31, 34, 32, 42, 46, 46]",Successful,376
1.0,"[0, 16, 22, 22, 20, 26, 33, 36, 33, 43, 47, 47]",Successful,372
1.2,"[0, 15, 22, 21, 19, 27, 33, 36, 34, 45, 50, 50]",Acceptable,403
1.0,"[0, 15, 21, 22, 18, 25, 30, 31, 33, 41, 49, 45]",Acceptable,392
0.8,"[0, 10, 15, 17, 13, 21, 24, 27, 26, 32, 37, 37]",Successful,350
0.8,"[0, 9, 16, 13, 13, 19, 24, 29, 25, 36, 42, 42]",Successful,351
1.2,"[0, 13, 22, 21, 18, 26, 32, 34, 33, 42, 49, 47]",Acceptable,403
0.8,"[0, 12, 18, 18, 15, 21, 28, 28, 26, 39, 45, 43]",Successful,373
